timestamp_ms,apps1_pct,apps2_pct,brake_raw,brake_latched,pedal_pressed,mismatch_fault,brake_throttle_fault,active_fault,implausibility
20122,?,?,0,0,0,1,0,1,1
20160,?,?,0,0,0,1,0,1,1
20201,?,?,0,0,0,1,0,1,1
20237,?,?,0,0,0,1,0,1,1
20276,?,?,0,0,0,1,0,1,1
20315,?,?,0,0,0,1,0,1,1
20353,?,?,0,0,0,1,0,1,1
20391,?,?,0,0,0,1,0,1,1
20429,?,?,0,0,0,1,0,1,1
20468,?,?,0,0,0,1,0,1,1
20507,?,?,0,0,0,1,0,1,1
20545,?,?,0,0,0,1,0,1,1
20584,?,?,0,0,0,1,0,1,1
20622,?,?,0,0,0,1,0,1,1
20661,?,?,0,0,0,1,0,1,1
20699,?,?,0,0,0,1,0,1,1
20738,?,?,0,0,0,1,0,1,1
20776,?,?,0,0,0,1,0,1,1
20814,?,?,0,0,0,1,0,1,1
20853,?,?,0,0,0,1,0,1,1
20891,?,?,0,0,0,1,0,1,1
20930,?,?,0,0,0,1,0,1,1
20971,?,?,0,0,0,1,0,1,1
21007,?,?,0,0,0,1,0,1,1
21046,?,?,0,0,0,1,0,1,1
21084,?,?,0,0,0,1,0,1,1
21123,?,?,0,0,0,1,0,1,1
21160,?,?,0,0,0,1,0,1,1
21199,?,?,0,0,0,1,0,1,1
21237,?,?,0,0,0,1,0,1,1
21276,?,?,0,0,0,1,0,1,1
21315,?,?,0,0,0,1,0,1,1
21353,?,?,0,0,0,1,0,1,1
21392,?,?,0,0,0,1,0,1,1
21437,?,?,0,0,0,1,0,1,1
21471,?,?,0,0,0,1,0,1,1
21508,?,?,0,0,0,1,0,1,1
21545,?,?,0,0,0,1,0,1,1
21584,?,?,0,0,0,1,0,1,1
21622,?,?,0,0,0,1,0,1,1
21661,?,?,0,0,0,1,0,1,1
21699,?,?,0,0,0,1,0,1,1
21738,?,?,0,0,0,1,0,1,1
21779,?,?,0,0,0,1,0,1,1
21815,?,?,0,0,0,1,0,1,1
